,Company Name (legal entity),City,Address
,MANAK BANGLES PRIVATE LIMITED,Mumbai,"GALA NO. 4, BLDG. NO. 4, PIRAMAL INDUSTRIAL ESTATE S. V. ROAD, GOREGAON (WEST),MUMBAI,Maharashtra,400062-India"
,LIBRA DECOR PRIVATE LIMITED,Mumbai,"2F ,Floor-2,Plot -15A,35,Court Chambers,Vitthaldas Thackersey Marg,New Marine Lines,Churchg,ate,,Mumbai,Mumbai City,Maharashtra,400020-India"
,FOXYMORON MEDIA SOLUTIONS PRIVATE LIMITED,Mumbai,"Building G & D-1, Paragon Condominium,Pandurang Budhkar Marg, Worli,,Mumbai,Mumbai,Maharashtra,400013-India"
,IDEAL MOCKUPS PRIVATE LIMITED,Mumbai,"F-9/24 MIDC HINGNA INDUSTRIAL AREA,Nagpur,Nagpur,Maharashtra,440016-India"
,H.JASVANTRAI ENGINEERING PRIVATE LIMITED,Mumbai,"301, SAPHHIRE PLAZA, PLOT NO.20, DADABHAI ROAD, OPP. GOKALIBHAI SCHOOL, VILE PARLE-WEST,MUMBAI,Mumbai City,Maharashtra,400056-India"
,BIG BUSINESS ADVISORS PRIVATE LIMITED,Mumbai,"B 305, SAGAR NAGAR, AMBA MATA ROAD AT AND POST PALGHAR,PALGHAR,Maharashtra,401404-India"
,KIRAN DRUG HOUSE PRIVATE LIMITED,Mumbai,"SHOP NO. 9, KRISHNARAJ HOUSING SOCIETY GOLEY COLONY,NASHIK,Maharashtra,422002-India"
,OAK SUPPORT SERVICES PRIVATE LIMITED,Mumbai,"318, VAISHALI APARTMENTS, 12/14 PAREKH STREET, BEHIND GIRGAON COURT, PRARTHANA SAMAJ,MUMBAI,Mumbai City,Maharashtra,400004-India"
,HUNGAMA DIGITAL SERVICES PRIVATE LIMITED,Mumbai,"6th Floor, Wing A, The ORB Sahar, Village Marol, Andheri (East),Mumbai,Mumbai City,Maharashtra,400099-India"
,RUSTY TRIANGLE FILMS PRIVATE LIMITED,Mumbai,"1301, PALM SPRING COMPLEX, 2/D WING CHS LTD, LINK ROAD, NEAR D-MART, BEHIND CROMA.,MUMBAI,Mumbai City,Maharashtra,400064-India"
,NATIONAL SECURITIES DEPOSITORY LIMITED,Mumbai,"301, 3rd Floor, Naman Chambers, G Block, Plot No- C-32, Bandra Kurla Complex, Bandra East,Mumbai,Mumbai,Maharashtra,400051-India"
,OM SHRI SAI CRANES (INDIA) PRIVATE LIMITED,Mumbai,"A-2001, BIMA COMPLEX, KALAMBOLI STREET MARKET, KALAMBOLI,NAVI MUMBAI,Maharashtra,410218-India"
,AMIT CHOCO INDUSTRIES PRIVATE LIMITED,Mumbai,"125, SHREE GANESH SNEHAL APTS FLAY NO. 203, SHRADDANAD PETH SOUTH AMBA,ZARI ROAD,NAGPUR,Maharashtra,440022-India"
,ROCKSTARZ FILMS PRIVATE LIMITED,Mumbai,"61, 2ND FLOOR, JUHU SUPREME SHOPPING CENTRE, GULMOHAR X ROAD NO. 9, J.V.P.D., JUHU,,MUMBAI,Mumbai City,Maharashtra,400049-India"
,SMITIN MARKETING PRIVATE LIMITED,Mumbai,"4 Adityaman C.H.S., Mahavir road, Kanti Nagar, Andheri East,,Mumbai,Maharashtra,400059-India"
,GALAXY INFONET PRIVATE LIMITED,Mumbai,"Room No.3, Ahire Chawl Ambedkar Nagar, P.L.Lokhande Marg, Chemb,ur,Mumbai,Mumbai City,Maharashtra,400089-India"
,RUSHI HOSPITALITY SERVICES PRIVATE LIMITED,Mumbai,"103,1ST FLOOR, RONIT ARCADE,OPP.TELEPHONE EXCHANGE POISAR, S.V.ROAD, KANDIVALI (W),,MUMBAI,Maharashtra,400057-India"
,OXIONA ENERGY SOLUTIONS (INDIA) PRIVATE LIMITED,Mumbai,"Building No.- 09, Flat No.- 15, SACHIN CHS, MITHAGAR ROAD MULUND (EAST),MUMBAI,Maharashtra,400081-India"
,SAI NET SERVICES PRIVATE LIMITED,Mumbai,"27-28, UPPER FLOOR, BARNAD MARKET, LINK ROAD OPP ASHA KRISHNA BLDG, SAKINAKA,MUMBAI,Maharashtra,400072-India"
,BLOND DESIGN PRIVATE LIMITED,Mumbai,"Kitab Mahal, 3rd Floor, Plot No-192 Dadabhai Naoroji Road, Azad Maidan, Fort,Mumbai,Mumbai City,Maharashtra,400001-India"
